,id,title,image_url,price,rating,reviews,category
47,48,제니트 여성용 더센 배색 카라 반팔 니트티 n1517,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7807035656144156-0733a9e6-13cd-4eb6-94f4-bbb5de8d8dcc.jpg,19900,4.5,1634,woman_clothes
48,49,일이오 여자 앗차거 쿨 뒷밴딩 일자핏 데님 팬츠,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/be00/2b285f0fd5de1d730089e6523e347e57e341f76b189074e5da4dccd02b2e.jpg,19800,4.5,132,woman_clothes
49,50,위드후이린 여성용 스판 밴드 점프수트,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/wv3difd2/b7e837fbae5a4248a36331e34874fe87.jpg,17950,4.5,103,woman_clothes
50,51,규리규리 오버핏 여성 흰남방 흰셔츠(끈나시 포함),https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/20b1/108689e398ed1328dc26bb17f1e255f3b0e8a51efe90fb17f834e64b2e0e.jpg,21900,4.5,36,woman_clothes
51,52,[1015마켓][#재구매1위#여름셔츠]프라이드 줄무늬 오버핏 셔츠,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/699e/13e54c002dc162afdc0aaa82ecbdc6cba11f925fee9f0614d6c298bac711.jpg,17910,4.5,26,woman_clothes
52,53,여성 여름 반팔 셔츠 패션 루즈핏 코디 상의 슬림핏 남방 블라우스 캐주얼 데일리 폴로넥 반팔 티셔츠 LJX,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/34c1/fe44160fe1e6ebc5414cee8e55e6868bde6aa9eb917c30450636d7f0334f.jpg,18350,4.5,51,woman_clothes
53,54,데일로엔 여성 단가라 카라 반팔 미디엄 데일리 원피스,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c6a1/1759e19f88d687a0068d98d193092517dd9df266758f54a9c661d76c3c48.jpg,19900,4.5,187,woman_clothes
54,55,LUMANOKI 여성 반목 스판 반팔티,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/10d2/433b5187c74f8fc65131b82bc1f3b20ca216828cec655edf90a60f2e2a3f.jpg,12900,4.0,205,woman_clothes
55,56,[1015마켓][여름원단#7만장리오더]샤인 데님셔츠,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f96f/5d46d2629bec5f319bc7257906bb2b448d6c01427370e5021d52225fad24.jpg,22900,4.5,10,woman_clothes
56,57,주디앤 여성 프릴 스퀘어넥 체크 나시 블라우스,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c690/d3bb73b9922023af61e83adb8d86a91eab63ad5a59e87784816b44d0b5a1.jpg,14900,4.5,48,woman_clothes
57,58,[세트상품] 여성 투피스 곰인형 반팔 7부바지 상하세트,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/29b3/796c6b6b9ec6674c289a776d22ed12743cf4d372073c5a7d8514b25e8416.png,9990,3.5,65,woman_clothes
58,59,네모엔룩 여성용 데님크롭탑 스모크밴딩 뷔스티에 스트랩끈 민소매 나시,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8c7c/bc0272dcb111349c3f0da0788870dadecc9ff254f7b4d1e2db024489f6c3.jpg,14900,4.5,69,woman_clothes
59,60,슈가달링 여성 모달 데일리 상하의 세트 S~XL,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8af2/6020d4908b75447a1ae6cf848d099365d52e7684e335a7850a3287d42515.JPG,18900,4.5,87,woman_clothes
60,61,네모엔룩 여성용 데님크롭탑 스모크밴딩 뷔스티에 스트랩끈 민소매 나시,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8c7c/bc0272dcb111349c3f0da0788870dadecc9ff254f7b4d1e2db024489f6c3.jpg,14900,4.5,69,woman_clothes
61,62,ELLE PARIS 여성용 쿨링 와이드 밴딩 팬츠,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3324748775178634-c4b53778-8808-4c07-ba69-fa87b4b603a2.jpg,11480,4.5,2877,woman_clothes
62,63,앤샵 [자체제작/국내생산] 여성용 여름 링클 아노락 반팔 셔링 롱원피스(3color),https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e54a/ec8e067d6007f854f2dcbe71cb2ea197a76868e8f9380ba7acee35c69805.JPG,23900,4.5,106,woman_clothes
63,64,데일리앤 루피드 레이어드 청 멜빵 뷔스티에 데님 롱 원피스,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d1c1/f44815ee9c5cbf58fe6a85ace223b17563bc226b7349f81c105281feab01.jpg,19800,4.5,98,woman_clothes
64,65,토마토팩토리 여성용 5부 와이드 데님 팬츠,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/166132803797109-c02731cd-68fd-46b5-8ad1-16c1e913400b.jpg,16440,4.5,59,woman_clothes
65,66,아피나르 반팔 데일리 가디건,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1689418914292242-83cf1467-1748-4c5c-acd5-5753a825b546.jpg,14640,4.5,387,woman_clothes
66,67,서프라이더 남녀 상하의 5종 풀세트 프린팅 집업 래쉬가드 빅사이즈 /SURFRIDER,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/427b/46c713b1cfc1cf67b8558f346990d697235ac59a32071ff53093252f82d3.jpg,29800,4.5,1091,woman_clothes
